Timestamp,Gender,Age,status,love_age,partner_sameage,loyality,difference,second love,relationship,break up ,,,,,,
1/16/2021 9:17:40,Male,19,Single,17,no - not the same age,yes,my partner is younger,No,Maybe,No,,,,,,
1/16/2021 9:18:32,Male,30,Single,15,yes - same age,Maybe,my partner is of same age,Yes,Maybe,No,,,,,,
1/16/2021 9:23:56,Male,22,Single,22,no - not the same age,yes,my partner is elder,No,No,Yes,,,,,,
1/16/2021 9:24:41,Female,19,In a relationship,18,no - not the same age,Maybe,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 9:29:35,Male,19,Single,19,no - not the same age,no,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 9:33:07,Female,18,In a relationship,18,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 9:33:58,Female,19,Single,16,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 9:36:40,Male,21,Single,17,yes - same age,yes,my partner is of same age,Yes,No,No,,,,,,
1/16/2021 9:38:12,Male,22,In a relationship,17,no - not the same age,Maybe,my partner is elder,No,No,Yes,,,,,,
1/16/2021 9:41:33,Male,21,In a relationship,16,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:43:58,Male,19,Single,16,yes - same age,no,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:49:01,Male,22,In a relationship,17,no - not the same age,yes,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 9:49:33,Female,19,Single,15,no - not the same age,Maybe,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 9:51:55,Male,24,In a relationship,22,no - not the same age,yes,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 9:52:00,Male,28,In a relationship,25,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 9:52:14,Male,26,In a relationship,21,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 9:53:14,Male,26,Single,17,no - not the same age,Maybe,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 9:54:15,Male,27,Single,26,no - not the same age,yes,my partner is younger,No,Maybe,Yes,,,,,,
1/16/2021 9:54:46,Male,21,In a relationship,20,no - not the same age,yes,my partner is elder,No,Yes,No,,,,,,
1/16/2021 9:54:55,Female,21,Single,19,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 9:55:17,Male,23,Single,20,no - not the same age,yes,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 9:57:25,Male,21,Single,19,no - not the same age,yes,my partner is elder,No,Yes,No,,,,,,
1/16/2021 9:57:25,Male,20,In a relationship,18,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:59:30,Female,19,Single,19,yes - same age,Maybe,my partner is of same age,No,No,No,,,,,,
1/16/2021 9:59:39,Female,25,Single,21,yes - same age,yes,my partner is of same age,No,Yes,Yes,,,,,,
1/16/2021 10:01:45,Male,20,Single,13,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 10:02:44,Female,22,Single,21,no - not the same age,Maybe,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 10:03:59,Female,22,Single,19,yes - same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 10:05:19,Female,22,Single,0,no - not the same age,Maybe,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 10:05:22,Male,28,Single,22,yes - same age,no,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 10:05:31,Male,21,In a relationship,19,no - not the same age,yes,my partner is elder,Yes,Maybe,No,,,,,,
1/16/2021 10:05:33,Male,26,Single,19,yes - same age,no,my partner is of same age,Yes,No,Yes,,,,,,
1/16/2021 10:06:33,Male,22,Single,0,no - not the same age,Maybe,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 10:06:49,Female,19,In a relationship,18,yes - same age,yes,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 10:07:53,Male,26,Single,21,yes - same age,Maybe,my partner is younger,No,Maybe,Yes,,,,,,
1/16/2021 10:11:47,Female,22,In a relationship,20,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 10:13:06,Male,24,In a relationship,16,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 10:13:39,Female,21,Single,15,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 10:13:49,Female,23,Single,16,yes - same age,Maybe,my partner is of same age,No,Yes,No,,,,,,
1/16/2021 10:14:07,Male,21,In a relationship,18,yes - same age,yes,my partner is younger,No,No,No,,,,,,
1/16/2021 10:15:42,Female,21,Single,16,yes - same age,no,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 10:15:52,Female,24,Single,24,yes - same age,no,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 10:16:03,Male,21,In a relationship,16,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 10:17:13,Male,21,Single,18,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 10:18:48,Male,20,Single,16,no - not the same age,no,my partner is younger,No,Maybe,No,,,,,,
1/16/2021 10:19:02,Female,19,Single,17,no - not the same age,yes,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 10:19:47,Male,23,In a relationship,18,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 10:21:28,Male,23,In a relationship,18,yes - same age,yes,my partner is elder,No,No,No,,,,,,
1/16/2021 10:21:30,Female,19,In a relationship,15,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 10:24:48,Female,19,Single,18,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 10:27:04,Male,23,Single,22,no - not the same age,yes,my partner is elder,No,Yes,No,,,,,,
1/16/2021 10:28:12,Female,21,Single,0,no - not the same age,Maybe,my partner is elder,No,No,No,,,,,,
1/16/2021 10:30:59,Female,22,Single,13,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 10:31:39,Male,23,Single,17,no - not the same age,Maybe,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 10:32:16,Female,22,In a relationship,20,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 10:32:31,Male,19,Single,17,yes - same age,yes,my partner is of same age,No,Yes,No,,,,,,
1/16/2021 10:35:38,Female,19,Single,16,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 10:35:47,Male,20,Single,13,yes - same age,no,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 10:35:56,Female,25,Single,25,no - not the same age,no,my partner is younger,No,No,Yes,,,,,,
1/16/2021 10:42:01,Female,19,In a relationship,18,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 10:42:32,Female,22,Single,19,no - not the same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 10:44:27,Female,19,Single,17,no - not the same age,no,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 10:49:30,Male,21,Single,16,yes - same age,yes,my partner is of same age,Yes,No,Yes,,,,,,
1/16/2021 11:15:15,Female,21,Single,10,no - not the same age,yes,my partner is elder,Yes,Yes,No,,,,,,
1/16/2021 11:17:45,Male,21,In a relationship,21,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 11:24:20,Female,33,Single,16,no - not the same age,yes,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 11:26:32,Female,21,In a relationship,19,no - not the same age,yes,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 11:37:54,Male,20,Single,12,yes - same age,Maybe,my partner is younger,No,Yes,No,,,,,,
1/16/2021 11:39:28,Female,20,Single,15,no - not the same age,Maybe,my partner is elder,No,Yes,Yes,,,,,,
1/16/2021 11:39:36,Female,23,In a relationship,22,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 11:45:58,Male,21,Single,1,yes - same age,Maybe,my partner is younger,No,No,Yes,,,,,,
1/16/2021 11:51:27,Female,25,In a relationship,15,no - not the same age,no,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 11:55:56,Female,18,Single,18,no - not the same age,Maybe,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 11:59:19,Male,22,In a relationship,18,yes - same age,Maybe,my partner is elder,Yes,Yes,No,,,,,,
1/16/2021 12:25:12,Female,20,In a relationship,20,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 12:41:39,Female,20,In a relationship,16,no - not the same age,yes,my partner is elder,No,No,Yes,,,,,,
1/16/2021 12:50:46,Male,24,Single,14,yes - same age,Maybe,my partner is of same age,Yes,Maybe,Yes,,,,,,
1/16/2021 12:56:20,Female,21,Single,19,yes - same age,yes,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 14:11:54,Male,18,Single,10,yes - same age,Maybe,my partner is elder,No,No,Yes,,,,,,
1/16/2021 14:15:04,Male,21,Single,18,no - not the same age,yes,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 14:16:01,Male,24,Single,18,yes - same age,yes,my partner is of same age,Yes,No,Yes,,,,,,
1/16/2021 14:16:04,Male,25,In a relationship,19,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 14:22:30,Female,20,Single,18,yes - same age,Maybe,my partner is of same age,Yes,Yes,No,,,,,,
1/16/2021 14:24:40,Male,21,Single,15,no - not the same age,Maybe,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 14:29:02,Male,20,Single,17,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 14:31:56,Female,20,Single,17,yes - same age,Maybe,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 14:40:39,Female,22,In a relationship,18,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 14:41:00,Male,21,Single,15,yes - same age,yes,my partner is of same age,Yes,Maybe,Yes,,,,,,
1/16/2021 14:48:36,Female,19,In a relationship,18,yes - same age,Maybe,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 14:49:57,Female,20,In a relationship,17,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 14:51:40,Female,20,In a relationship,17,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 14:52:21,Male,20,Single,18,no - not the same age,no,my partner is younger,No,Maybe,No,,,,,,
1/16/2021 14:53:47,Female,21,Single,18,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 14:54:41,Female,20,Single,18,no - not the same age,yes,my partner is elder,No,No,No,,,,,,
1/16/2021 14:56:34,Female,21,Single,0,no - not the same age,Maybe,my partner is elder,No,No,No,,,,,,
1/16/2021 15:01:33,Male,20,Single,19,yes - same age,no,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 15:09:31,Male,20,Single,19,yes - same age,yes,my partner is of same age,Yes,Maybe,Yes,,,,,,
1/16/2021 15:24:20,Male,23,Single,13,yes - same age,no,my partner is of same age,Yes,Maybe,Yes,,,,,,
1/16/2021 15:24:31,Male,22,Single,17,no - not the same age,Maybe,my partner is younger,No,Maybe,Yes,,,,,,
1/16/2021 15:27:59,Male,25,Single,15,yes - same age,yes,my partner is of same age,Yes,Maybe,Yes,,,,,,
1/16/2021 15:42:46,Female,20,In a relationship,18,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 15:43:19,Female,21,In a relationship,18,no - not the same age,Maybe,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 15:49:00,Female,20,In a relationship,20,no - not the same age,Maybe,my partner is elder,No,Yes,No,,,,,,
1/16/2021 15:52:09,Female,24,In a relationship,19,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 16:02:57,Male,24,Single,14,yes - same age,yes,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 16:10:07,Female,20,In a relationship,17,yes - same age,yes,my partner is of same age,Yes,Yes,No,,,,,,
1/16/2021 16:13:21,Female,22,In a relationship,21,yes - same age,yes,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 16:24:38,Male,20,In a relationship,18,no - not the same age,yes,my partner is younger,No,No,No,,,,,,
1/16/2021 17:05:25,Male,22,Single,16,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 17:28:28,Female,22,Single,16,yes - same age,Maybe,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 17:41:16,Female,23,Single,21,yes - same age,Maybe,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 18:13:57,Male,22,Single,15,yes - same age,no,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 18:16:46,Male,20,Single,18,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 18:57:38,Female,24,In a relationship,21,yes - same age,yes,my partner is of same age,No,Yes,Yes,,,,,,
1/16/2021 19:48:30,Female,20,Single,17,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 19:50:30,Female,19,Single,17,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 19:58:13,Female,21,Single,0,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 20:54:16,Male,21,Single,0,no - not the same age,Maybe,my partner is younger,No,Yes,No,,,,,,
1/16/2021 20:56:20,Male,20,In a relationship,20,no - not the same age,no,my partner is younger,Yes,No,Yes,,,,,,
1/16/2021 23:27:19,Female,22,Single,17,yes - same age,Maybe,my partner is elder,No,No,No,,,,,,
1/16/2021 23:55:34,Female,23,In a relationship,19,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/17/2021 6:03:35,Male,23,In a relationship,19,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/17/2021 11:13:47,Male,26,Single,20,no - not the same age,Maybe,my partner is younger,No,Maybe,Yes,,,,,,
1/17/2021 15:02:18,Male,23,Single,19,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
